vehicleId,tripId,timeUnix,outdoorTemperature,temperatureRotorFront,temperatureRotorBack,velocity
3659478-10880825,3659478-10880825-1,1630506943000,25.0,32.0,36.0,23.57
3659478-10880825,3659478-10880825-1,1630506944000,25.0,32.0,36.0,22.99
3659478-10880825,3659478-10880825-1,1630506945000,25.0,32.0,36.0,22.0
3659478-10880825,3659478-10880825-1,1630506946000,25.0,32.0,36.0,21.04
3659478-10880825,3659478-10880825-1,1630506947000,25.0,32.0,36.0,20.57
3659478-10880825,3659478-10880825-1,1630506948000,25.0,33.0,36.0,22.1
3659478-10880825,3659478-10880825-1,1630506949000,25.0,33.0,36.0,24.83
3659478-10880825,3659478-10880825-1,1630506950000,25.0,33.0,36.0,28.33
3659478-10880825,3659478-10880825-1,1630506951000,25.0,33.0,36.0,31.98
3659478-10880825,3659478-10880825-1,1630506952000,25.0,33.0,36.0,35.9
3659478-10880825,3659478-10880825-1,1630506953000,25.0,33.0,36.0,38.64
3659478-10880825,3659478-10880825-1,1630506954000,25.0,33.0,36.0,39.46
3659478-10880825,3659478-10880825-1,1630506955000,25.0,33.0,36.0,39.71
3659478-10880825,3659478-10880825-1,1630506956000,25.0,33.0,36.0,39.44
3659478-10880825,3659478-10880825-1,1630506957000,25.0,33.0,36.0,36.82
3659478-10880825,3659478-10880825-1,1630506958000,25.0,33.0,36.0,31.84
3659478-10880825,3659478-10880825-1,1630506959000,25.0,33.0,36.0,24.85
3659478-10880825,3659478-10880825-1,1630506960000,25.0,33.0,37.0,16.97
3659478-10880825,3659478-10880825-1,1630506961000,25.0,33.0,37.0,13.61
3659478-10880825,3659478-10880825-1,1630506962000,25.0,33.0,37.0,12.06
3659478-10880825,3659478-10880825-1,1630506963000,25.0,33.0,37.0,11.76
3659478-10880825,3659478-10880825-1,1630506964000,25.0,33.0,37.0,10.33
3659478-10880825,3659478-10880825-1,1630506965000,25.0,33.0,37.0,9.08
3659478-10880825,3659478-10880825-1,1630506966000,25.0,33.0,36.0,9.89
3659478-10880825,3659478-10880825-1,1630506967000,25.0,33.0,37.0,13.53
3659478-10880825,3659478-10880825-1,1630506968000,25.0,33.0,37.0,14.03
3659478-10880825,3659478-10880825-1,1630506969000,25.0,33.0,37.0,13.24
3659478-10880825,3659478-10880825-1,1630506970000,25.0,33.0,37.0,14.15
3659478-10880825,3659478-10880825-1,1630506971000,25.0,33.0,37.0,18.92
3659478-10880825,3659478-10880825-1,1630506972000,25.0,33.0,37.0,21.97
3659478-10880825,3659478-10880825-1,1630506973000,25.0,33.0,37.0,22.75
3659478-10880825,3659478-10880825-1,1630506974000,25.0,33.0,37.0,23.86
3659478-10880825,3659478-10880825-1,1630506975000,25.0,33.0,37.0,25.63
3659478-10880825,3659478-10880825-1,1630506976000,25.0,33.0,37.0,26.59
3659478-10880825,3659478-10880825-1,1630506977000,25.0,33.0,37.0,26.71
3659478-10880825,3659478-10880825-1,1630506978000,25.0,33.0,37.0,30.11
3659478-10880825,3659478-10880825-1,1630506979000,25.0,33.0,37.0,31.49
3659478-10880825,3659478-10880825-1,1630506980000,25.0,33.0,37.0,30.89
3659478-10880825,3659478-10880825-1,1630506981000,25.0,33.0,37.0,29.66
3659478-10880825,3659478-10880825-1,1630506982000,25.5,33.0,37.0,30.61
3659478-10880825,3659478-10880825-1,1630506983000,25.5,33.0,37.0,32.4
3659478-10880825,3659478-10880825-1,1630506984000,25.5,33.0,37.0,33.31
3659478-10880825,3659478-10880825-1,1630506985000,25.5,33.0,37.0,33.56
3659478-10880825,3659478-10880825-1,1630506986000,25.5,33.0,37.0,33.75
3659478-10880825,3659478-10880825-1,1630506987000,25.5,33.0,37.0,35.32
3659478-10880825,3659478-10880825-1,1630506988000,25.5,33.0,37.0,37.57
3659478-10880825,3659478-10880825-1,1630506989000,25.5,33.0,37.0,39.15
3659478-10880825,3659478-10880825-1,1630506990000,25.5,33.0,37.0,39.08
3659478-10880825,3659478-10880825-1,1630506991000,25.5,33.0,37.0,38.69
3659478-10880825,3659478-10880825-1,1630506992000,25.5,33.0,37.0,38.43
3659478-10880825,3659478-10880825-1,1630506993000,25.5,33.0,37.0,37.85
3659478-10880825,3659478-10880825-1,1630506994000,25.5,33.0,38.0,38.42
3659478-10880825,3659478-10880825-1,1630506995000,25.5,33.0,38.0,39.36
3659478-10880825,3659478-10880825-1,1630506996000,25.5,33.0,38.0,40.32
3659478-10880825,3659478-10880825-1,1630506997000,25.5,33.0,38.0,41.22
3659478-10880825,3659478-10880825-1,1630506998000,25.5,33.0,38.0,41.98
3659478-10880825,3659478-10880825-1,1630506999000,25.5,33.0,38.0,42.31
3659478-10880825,3659478-10880825-1,1630507000000,25.5,33.0,38.0,41.05
3659478-10880825,3659478-10880825-1,1630507001000,25.5,33.0,38.0,38.47
3659478-10880825,3659478-10880825-1,1630507002000,25.5,33.0,38.0,35.95
3659478-10880825,3659478-10880825-1,1630507003000,25.5,33.0,38.0,33.6
3659478-10880825,3659478-10880825-1,1630507004000,25.5,33.0,38.0,31.03
3659478-10880825,3659478-10880825-1,1630507005000,25.5,33.0,38.0,28.32
3659478-10880825,3659478-10880825-1,1630507006000,25.5,33.0,38.0,25.5
3659478-10880825,3659478-10880825-1,1630507007000,25.5,33.0,38.0,22.59
3659478-10880825,3659478-10880825-1,1630507008000,25.5,33.0,38.0,20.24
3659478-10880825,3659478-10880825-1,1630507009000,25.5,33.0,38.0,21.05
3659478-10880825,3659478-10880825-1,1630507010000,25.5,33.0,38.0,23.18
3659478-10880825,3659478-10880825-1,1630507011000,25.5,33.0,38.0,24.64
3659478-10880825,3659478-10880825-1,1630507012000,25.5,33.0,38.0,26.39
3659478-10880825,3659478-10880825-1,1630507013000,25.5,33.0,39.0,29.48
3659478-10880825,3659478-10880825-1,1630507014000,25.5,34.0,39.0,34.66
3659478-10880825,3659478-10880825-1,1630507015000,25.5,34.0,39.0,37.87
3659478-10880825,3659478-10880825-1,1630507016000,25.5,34.0,39.0,38.12
3659478-10880825,3659478-10880825-1,1630507017000,25.5,34.0,39.0,36.52
3659478-10880825,3659478-10880825-1,1630507018000,25.5,34.0,39.0,35.0
3659478-10880825,3659478-10880825-1,1630507019000,25.5,34.0,39.0,33.41
3659478-10880825,3659478-10880825-1,1630507020000,25.5,34.0,39.0,31.78
3659478-10880825,3659478-10880825-1,1630507021000,25.5,34.0,39.0,30.36
3659478-10880825,3659478-10880825-1,1630507022000,25.5,33.0,39.0,29.36
3659478-10880825,3659478-10880825-1,1630507023000,25.5,33.0,39.0,28.16
3659478-10880825,3659478-10880825-1,1630507024000,25.5,34.0,39.0,25.52
3659478-10880825,3659478-10880825-1,1630507025000,25.5,34.0,39.0,23.71
3659478-10880825,3659478-10880825-1,1630507026000,25.5,34.0,39.0,22.73
3659478-10880825,3659478-10880825-1,1630507027000,25.5,34.0,39.0,23.26
3659478-10880825,3659478-10880825-1,1630507028000,25.5,34.0,39.0,25.59
3659478-10880825,3659478-10880825-1,1630507029000,25.5,34.0,39.0,30.68
3659478-10880825,3659478-10880825-1,1630507030000,25.5,34.0,39.0,36.21
3659478-10880825,3659478-10880825-1,1630507031000,25.5,34.0,39.0,41.26
3659478-10880825,3659478-10880825-1,1630507032000,25.5,34.0,40.0,45.88
3659478-10880825,3659478-10880825-1,1630507033000,25.5,34.0,40.0,49.83
3659478-10880825,3659478-10880825-1,1630507034000,25.5,34.0,40.0,53.08
3659478-10880825,3659478-10880825-1,1630507035000,25.5,34.0,40.0,55.75
3659478-10880825,3659478-10880825-1,1630507036000,25.5,35.0,40.0,58.02
3659478-10880825,3659478-10880825-1,1630507037000,25.5,35.0,41.0,59.29
